time,gdp_growth,exports,imports,capital_formation,unemployment,house_price_index,labor_costs_index,production
2009-01-01,-3.5936410000000003,-8.10674,-7.775383000000001,-9.268915,3.8,116.40899999999999,3.915986,-4.606337798105191
2009-02-01,-2.394924333333334,-5.110016666666667,-5.205015333333334,-6.818372999999999,3.933333333333333,115.29199999999999,2.787391566666667,-3.9156407238509505
2009-03-01,-1.196207666666667,-2.113293333333333,-2.634647666666667,-4.367831,4.066666666666666,114.175,1.6587971333333331,-3.2249436495967103
2009-04-01,0.002509,0.8834299999999999,-0.06427999999999999,-1.917289,4.2,113.05799999999999,0.5302026999999999,-2.53424657534247
2009-05-01,0.13524200000000003,1.3519243333333333,0.7724753333333334,-1.1454626666666667,4.333333333333333,112.728,0.1213077666666666,-0.4479891668832665
2009-06-01,0.267975,1.8204186666666666,1.609230666666667,-0.37363633333333346,4.466666666666667,112.398,-0.2875871666666667,1.638268241575937
2009-07-01,0.400708,2.288913,2.445986,0.39819,4.6,112.068,-0.6964821,3.72452565003514
2009-08-01,0.46791466666666665,2.313945,2.4663983333333332,0.6163743333333334,4.68888888888889,112.038,-0.6667115666666666,2.9685636221553167
2009-09-01,0.5351213333333333,2.338977,2.4868106666666665,0.8345586666666667,4.7777777777777795,112.008,-0.6369410333333333,2.212601594275493
2009-10-01,0.602328,2.364009,2.5072229999999998,1.052743,4.86666666666667,111.978,-0.6071705,1.45663956639567
2009-11-01,0.338591,2.3256563333333333,2.1611949999999998,-1.8873813333333334,4.944444444444446,111.86466666666666,-0.7351254333333334,2.440208236250433
2009-12-01,0.07485399999999998,2.2873036666666664,1.8151669999999998,-4.827505666666667,5.022222222222223,111.75133333333332,-0.8630803666666667,3.4237769061051964
2010-01-01,-0.188883,2.248951,1.469139,-7.7676300000000005,5.1,111.63799999999999,-0.9910353000000001,4.40734557595996
2010-02-01,0.02033233333333334,2.405756333333333,2.206414,-4.4900986666666665,5.066666666666666,111.59466666666665,-0.4876413666666667,3.513861979751993
2010-03-01,0.22954766666666668,2.5625616666666664,2.943689,-1.2125673333333333,5.033333333333333,111.55133333333333,0.01575256666666669,2.6203783835440264
2010-04-01,0.438763,2.7193669999999996,3.680964,2.064964,5.0,111.508,0.5191465000000001,1.72689478733606
2010-05-01,0.439699,2.5931973333333334,2.6862179999999998,1.0736279999999998,5.0,111.54133333333333,0.35308425000000004,0.2081635373605868
2010-06-01,0.440635,2.4670276666666666,1.6914719999999999,0.08229199999999981,5.0,111.57466666666666,0.18702200000000002,-1.3105677126148865
2010-07-01,0.441571,2.3408580000000003,0.6967260000000001,-0.9090440000000001,5.0,111.60799999999999,0.02095975,-2.82929896259036
2010-08-01,0.6702790000000001,2.387265666666667,1.03574,-1.3116643333333333,4.977777777777777,111.39133333333332,0.058980933333333325,-0.7215276810884999
2010-09-01,0.8989870000000001,2.4336733333333336,1.374754,-1.7142846666666667,4.955555555555553,111.17466666666667,0.09700211666666665,1.3862436004133603
2010-10-01,1.1276950000000001,2.480081,1.713768,-2.116905,4.93333333333333,110.958,0.13502329999999998,3.49401488191522
2010-11-01,0.9442023333333334,2.0055883333333333,1.6669723333333333,1.485904333333333,4.91111111111111,111.00466666666667,0.00896636666666667,2.214724102791871
2010-12-01,0.7607096666666666,1.5310956666666669,1.6201766666666666,5.088713666666666,4.88888888888889,111.05133333333333,-0.11709056666666665,0.9354333236685219
2011-01-01,0.577217,1.056603,1.573381,8.691523,4.86666666666667,111.098,-0.2431475,-0.34385745545482693
2011-02-01,0.3549563333333333,0.6900263333333334,0.5799723333333332,4.949306,4.822222222222223,110.59100000000001,0.033179600000000004,-1.1075319046403147
2011-03-01,0.13269566666666666,0.32344966666666675,-0.4134363333333335,1.2070889999999999,4.777777777777777,110.084,0.3095067,-1.8712063538258024
2011-04-01,-0.08956499999999999,-0.043127,-1.4068450000000001,-2.535128,4.73333333333333,109.57700000000001,0.5858338000000001,-2.6348808030112902
