gdp_growth,exports,imports,capital_formation,unemployment,house_price_index,labor_costs_index,production,long_interest,short_interest,date
-3.5936410000000003,-8.10674,-7.7753830000000015,-9.268915,3.8,116.409,3.915986,-4.606337798105192,3.763,3.763,2009-01-01
-2.394924333333334,-5.110016666666667,-5.205015333333334,-6.8183729999999985,3.933333333333333,115.292,2.787391566666667,-3.9156407238509514,3.797,3.797,2009-02-01
-1.196207666666667,-2.113293333333333,-2.634647666666667,-4.367831,4.066666666666666,114.175,1.6587971333333331,-3.2249436495967103,3.658,3.658,2009-03-01
0.002509,0.8834299999999999,-0.06427999999999999,-1.917289,4.2,113.058,0.5302026999999999,-2.53424657534247,3.771,3.771,2009-04-01
0.13524200000000006,1.3519243333333333,0.7724753333333334,-1.1454626666666667,4.333333333333333,112.728,0.1213077666666666,-0.4479891668832665,3.853,3.853,2009-05-01
0.267975,1.8204186666666664,1.609230666666667,-0.3736363333333335,4.466666666666667,112.398,-0.2875871666666667,1.6382682415759366,3.956,3.956,2009-06-01
0.400708,2.288913,2.445986,0.39819,4.6,112.068,-0.6964821,3.72452565003514,3.764,3.764,2009-07-01
0.4679146666666666,2.313945,2.466398333333333,0.6163743333333334,4.68888888888889,112.038,-0.6667115666666666,2.9685636221553167,3.609,3.609,2009-08-01
0.5351213333333333,2.338977,2.4868106666666665,0.8345586666666667,4.77777777777778,112.008,-0.6369410333333333,2.212601594275493,3.58,3.58,2009-09-01
0.602328,2.364009,2.507223,1.052743,4.86666666666667,111.978,-0.6071705,1.45663956639567,3.533,3.533,2009-10-01
0.338591,2.3256563333333333,2.161195,-1.8873813333333331,4.944444444444446,111.86466666666666,-0.7351254333333334,2.440208236250433,3.52,3.52,2009-11-01
0.07485399999999998,2.2873036666666664,1.815167,-4.827505666666667,5.022222222222223,111.75133333333332,-0.8630803666666667,3.4237769061051964,3.438,3.438,2009-12-01
-0.188883,2.248951,1.469139,-7.76763,5.1,111.638,-0.9910353,4.40734557595996,3.467,3.467,2010-01-01
0.02033233333333334,2.405756333333333,2.206414,-4.4900986666666665,5.066666666666666,111.59466666666664,-0.4876413666666667,3.513861979751993,3.3560000000000003,3.3560000000000003,2010-02-01
0.2295476666666667,2.5625616666666664,2.943689,-1.212567333333333,5.033333333333333,111.55133333333332,0.01575256666666669,2.6203783835440264,3.3680000000000003,3.3680000000000003,2010-03-01
0.438763,2.719367,3.680964,2.064964,5.0,111.508,0.5191465000000001,1.72689478733606,3.321,3.321,2010-04-01
0.43969899999999995,2.5931973333333334,2.686218,1.0736279999999998,5.0,111.54133333333333,0.35308425000000004,0.2081635373605868,3.018,3.018,2010-05-01
0.44063500000000005,2.4670276666666666,1.691472,0.08229199999999981,5.0,111.57466666666666,0.187022,-1.3105677126148865,2.899,2.899,2010-06-01
0.441571,2.3408580000000003,0.6967260000000001,-0.909044,5.0,111.608,0.02095975,-2.82929896259036,2.853,2.853,2010-07-01
0.6702790000000001,2.387265666666667,1.0357399999999999,-1.311664333333333,4.977777777777777,111.39133333333332,0.058980933333333325,-0.7215276810884999,2.5580000000000003,2.5580000000000003,2010-08-01
0.8989870000000001,2.4336733333333336,1.374754,-1.714284666666667,4.955555555555553,111.17466666666668,0.09700211666666664,1.3862436004133605,2.524,2.524,2010-09-01
1.127695,2.480081,1.713768,-2.116905,4.93333333333333,110.958,0.13502329999999998,3.49401488191522,2.577,2.577,2010-10-01
0.9442023333333334,2.0055883333333333,1.6669723333333333,1.485904333333333,4.9111111111111105,111.00466666666668,0.00896636666666667,2.214724102791871,2.785,2.785,2010-11-01
0.7607096666666666,1.5310956666666669,1.6201766666666666,5.088713666666666,4.888888888888889,111.05133333333332,-0.11709056666666665,0.935433323668522,3.155,3.155,2010-12-01
0.577217,1.056603,1.573381,8.691523,4.86666666666667,111.098,-0.2431475,-0.3438574554548269,3.228,3.228,2011-01-01
0.3549563333333333,0.6900263333333334,0.5799723333333332,4.949306,4.822222222222223,110.591,0.033179600000000004,-1.1075319046403147,3.408,3.408,2011-02-01
0.13269566666666666,0.32344966666666675,-0.4134363333333335,1.207089,4.777777777777778,110.084,0.3095067,-1.8712063538258024,3.423,3.423,2011-03-01
-0.08956499999999999,-0.043127,-1.406845,-2.535128,4.73333333333333,109.577,0.5858338000000001,-2.6348808030112902,3.647,3.647,2011-04-01
-0.05943766666666666,0.336951,-0.363507,-1.8708146666666663,4.81111111111111,109.40366666666668,0.5996771666666667,-1.1015184734852002,3.403,3.403,2011-05-01
-0.02931033333333333,0.7170289999999999,0.6798310000000001,-1.2065013333333332,4.888888888888889,109.23033333333332,0.6135205333333333,0.4318438560408899,3.284,3.284,2011-06-01
0.000817,1.097107,1.723169,-0.542188,4.966666666666669,109.057,0.6273639,1.96520618556698,3.172,3.172,2011-07-01
-0.20004533333333333,0.536856,1.0250436666666665,-0.481966,5.0888888888888895,108.417,0.9578402666666666,0.35173829959336994,2.678,2.678,2011-08-01
-0.40090766666666666,-0.023395000000000055,0.3269183333333332,-0.421744,5.21111111111111,107.777,1.2883166333333331,-1.26172958638024,2.336,2.336,2011-09-01
-0.60177,-0.583646,-0.371207,-0.361522,5.33333333333333,107.137,1.618793,-2.87519747235385,2.464,2.464,2011-10-01
-0.4716733333333334,0.032486000000000015,0.003232333333333337,-1.127896,5.3888888888888875,106.45666666666666,1.1063575533333334,-1.2444929581469764,2.446,2.446,2011-11-01
-0.3415766666666667,0.648618,0.3776716666666667,-1.8942700000000001,5.444444444444443,105.77633333333334,0.5939221066666667,0.3862115560598971,2.376,2.376,2011-12-01
-0.21148000000000006,1.26475,0.752111,-2.660644,5.5,105.096,0.08148666,2.0169160702667703,2.197,2.197,2012-01-01
-0.12336233333333335,1.480532,1.0192709999999998,-1.9365926666666669,5.566666666666666,104.516,0.2668859066666667,1.7697807815383837,2.236,2.236,2012-02-01
-0.03524466666666665,1.6963139999999999,1.286431,-1.2125413333333337,5.633333333333334,103.936,0.4522851533333333,1.5226454928099968,2.249,2.249,2012-03-01
0.052873,1.912096,1.553591,-0.48849,5.7,103.356,0.6376844,1.2755102040816102,2.293,2.293,2012-04-01
-0.10731066666666664,1.3056100000000002,0.970242,-1.2116236666666669,5.7666666666666675,102.01566666666668,0.6354021333333334,-0.2096934491680933,1.974,1.974,2012-05-01
-0.2674943333333333,0.6991240000000001,0.3868929999999999,-1.9347573333333328,5.833333333333334,100.67533333333333,0.6331198666666666,-1.6948971024177968,1.926,1.926,2012-06-01
-0.427678,0.092638,-0.196456,-2.657891,5.9,99.335,0.6308376,-3.1801007556675,1.747,1.747,2012-07-01
-0.518617,0.5608076666666666,0.026927333333333303,-3.0366893333333334,6.01111111111111,99.475,0.7343535999999999,-1.9899858696319899,1.757,1.757,2012-08-01
-0.609556,1.0289773333333332,0.25031066666666657,-3.4154876666666665,6.12222222222222,99.615,0.8378696,-0.7998709835964801,1.844,1.844,2012-09-01
-0.700495,1.497147,0.473694,-3.794286,6.23333333333333,99.755,0.9413856,0.39024390243903,1.767,1.767,2012-10-01
-0.3591723333333333,1.0331446666666666,0.1204783333333333,-3.446678,6.4111111111111105,98.85133333333332,0.64066883,1.1347981701391368,1.65,1.65,2012-11-01
-0.017849666666666653,0.5691423333333333,-0.2327373333333333,-3.09907,6.5888888888888895,97.94766666666666,0.33995206,1.879352437839244,1.5619999999999998,1.5619999999999998,2012-12-01
0.323473,0.10514,-0.585953,-2.751462,6.76666666666667,97.044,0.03923529,2.6239067055393503,1.727,1.727,2013-01-01
0.15502766666666667,0.06550533333333332,0.10971633333333343,-0.7691183333333333,6.888888888888889,96.37733333333333,0.06394952666666667,1.8334462212013167,1.827,1.827,2013-02-01
-0.01341766666666666,0.02587066666666667,0.8053856666666668,1.2132253333333334,7.01111111111111,95.71066666666668,0.08866376333333334,1.0429857368632829,1.665,1.665,2013-03-01
