subject,subject,location,country,measure,measure,frequency,frequency,time,time,unit code,unit,powercode code,powercode,reference period code,reference period,value,flag codes,flags
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2009-Q1,Q1-2009,PC,Percentage,0,Units,,,-4.606337798105191,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2009-Q2,Q2-2009,PC,Percentage,0,Units,,,-2.53424657534247,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2009-Q3,Q3-2009,PC,Percentage,0,Units,,,3.72452565003514,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2009-Q4,Q4-2009,PC,Percentage,0,Units,,,1.45663956639567,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2010-Q1,Q1-2010,PC,Percentage,0,Units,,,4.40734557595996,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2010-Q2,Q2-2010,PC,Percentage,0,Units,,,1.72689478733606,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2010-Q3,Q3-2010,PC,Percentage,0,Units,,,-2.82929896259036,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2010-Q4,Q4-2010,PC,Percentage,0,Units,,,3.49401488191522,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2011-Q1,Q1-2011,PC,Percentage,0,Units,,,-0.34385745545482693,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2011-Q2,Q2-2011,PC,Percentage,0,Units,,,-2.6348808030112902,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2011-Q3,Q3-2011,PC,Percentage,0,Units,,,1.96520618556698,,
PRINTO01,"Industrial production, s.a.",NLD,Netherlands,GP,Growth previous period,Q,Quarterly,2011-Q4,Q4-2011,PC,Percentage,0,Units,,,-2.87519747235385,,
