year,date,country,number_of_companies,number_of_defaults,default_rate,gdp_growth,exports,imports,labor_costs_index,production,short_interest
2010,2010-01-01,Netherlands,334758,5101,0.0152378733293902,-0.188883,2.248951,1.469139,-0.9910353000000001,4.40734557595996,3.467
2010,2010-02-01,Netherlands,334758,4960,0.0148166735373016,0.02033233333333334,2.405756333333333,2.206414,-0.4876413666666667,3.513861979751993,3.3560000000000003
2010,2010-03-01,Netherlands,334758,4851,0.0144910651873891,0.2295476666666667,2.5625616666666664,2.943689,0.01575256666666669,2.6203783835440264,3.3680000000000003
2010,2010-04-01,Netherlands,334758,4681,0.0139832356508284,0.438763,2.7193669999999996,3.680964,0.5191465000000001,1.72689478733606,3.321
2010,2010-05-01,Netherlands,334758,4590,0.01371139748714,0.439699,2.5931973333333334,2.686218,0.35308425000000004,0.2081635373605868,3.0180000000000002
2010,2010-06-01,Netherlands,334758,4541,0.0135650230913078,0.4406350000000001,2.4670276666666666,1.691472,0.187022,-1.3105677126148865,2.8989999999999996
2010,2010-07-01,Netherlands,334758,4409,0.0131707083923312,0.441571,2.3408580000000003,0.6967260000000001,0.02095975,-2.82929896259036,2.853
2010,2010-08-01,Netherlands,334758,4343,0.0129735510428429,0.6702790000000001,2.387265666666667,1.03574,0.058980933333333325,-0.7215276810884999,2.5580000000000003
2010,2010-09-01,Netherlands,334758,4235,0.0126509299254984,0.8989870000000001,2.4336733333333336,1.374754,0.09700211666666664,1.3862436004133605,2.524
2010,2010-10-01,Netherlands,334758,4203,0.0125553384833223,1.1276950000000001,2.480081,1.713768,0.13502329999999998,3.49401488191522,2.577
2010,2010-11-01,Netherlands,334758,4160,0.0124268874828981,0.9442023333333334,2.0055883333333333,1.6669723333333333,0.00896636666666667,2.214724102791871,2.785
2010,2010-12-01,Netherlands,334758,4052,0.0121042663655536,0.7607096666666666,1.5310956666666669,1.6201766666666666,-0.11709056666666665,0.9354333236685219,3.155
2011,2011-01-01,Netherlands,344354,4053,0.0117698647322232,0.577217,1.056603,1.573381,-0.2431475,-0.3438574554548269,3.228
2011,2011-02-01,Netherlands,344354,4050,0.0117611527672105,0.3549563333333333,0.6900263333333334,0.5799723333333332,0.033179600000000004,-1.1075319046403147,3.408
2011,2011-03-01,Netherlands,344354,3995,0.0116014334086434,0.13269566666666666,0.32344966666666675,-0.4134363333333335,0.3095067,-1.8712063538258024,3.423
2011,2011-04-01,Netherlands,344354,3995,0.0116014334086434,-0.08956499999999999,-0.043127,-1.4068450000000001,0.5858338000000001,-2.6348808030112902,3.647
2011,2011-05-01,Netherlands,344354,4015,0.0116595131753951,-0.05943766666666666,0.336951,-0.363507,0.5996771666666667,-1.1015184734852002,3.403
2011,2011-06-01,Netherlands,344354,3905,0.011340074458261002,-0.02931033333333333,0.7170289999999999,0.6798310000000001,0.6135205333333333,0.4318438560408899,3.284
2011,2011-07-01,Netherlands,344354,3864,0.0112210109364201,0.000817,1.097107,1.723169,0.6273639,1.96520618556698,3.1719999999999997
2011,2011-08-01,Netherlands,344354,3839,0.0111484112279805,-0.20004533333333333,0.536856,1.0250436666666665,0.9578402666666666,0.35173829959336994,2.678
2011,2011-09-01,Netherlands,344354,3909,0.0113516904116113,-0.40090766666666666,-0.023395000000000055,0.3269183333333332,1.2883166333333331,-1.26172958638024,2.336
2011,2011-10-01,Netherlands,344354,3919,0.0113807302949871,-0.60177,-0.583646,-0.371207,1.618793,-2.87519747235385,2.464
2011,2011-11-01,Netherlands,344354,3980,0.0115578735835797,-0.4716733333333334,0.032486000000000015,0.003232333333333337,1.1063575533333334,-1.2444929581469764,2.4459999999999997
2011,2011-12-01,Netherlands,344354,4057,0.0117814806855736,-0.3415766666666667,0.648618,0.3776716666666667,0.5939221066666667,0.3862115560598971,2.376
2012,2012-01-01,Netherlands,298142,4077,0.0136746919253242,-0.21148000000000008,1.26475,0.752111,0.08148666,2.0169160702667703,2.197
2012,2012-02-01,Netherlands,298142,4058,0.0136109639031066,-0.12336233333333335,1.480532,1.0192709999999998,0.2668859066666667,1.7697807815383837,2.2359999999999998
